_id,Food,Health Rating
65518631df087bc1863b6d4d,acorn squash,9
65518631df087bc1863b6d4e,almond,8
65518631df087bc1863b6d4f,amaranth,8
65518631df087bc1863b6d50,anchovy,7
65518631df087bc1863b6d51,antipasto,6
65518631df087bc1863b6d52,apple,8
65518631df087bc1863b6d53,apple pie,4
65518631df087bc1863b6d54,apple sauce,6
65518631df087bc1863b6d55,apricot,8
65518631df087bc1863b6d56,artichoke,9
65518631df087bc1863b6d57,arugula,9
65518631df087bc1863b6d58,asparagus,9
65518631df087bc1863b6d59,aspic,5
65518631df087bc1863b6d5a,avocado,9
65518631df087bc1863b6d5b,baby back ribs,3
65518631df087bc1863b6d5c,bacon,2
65518631df087bc1863b6d5d,bagel,3
65518631df087bc1863b6d5e,baguette,4
65518631df087bc1863b6d5f,baked alaska,3
65518631df087bc1863b6d60,baklava,2
65518631df087bc1863b6d61,bamboo shoots,7
65518631df087bc1863b6d62,banana,8
65518631df087bc1863b6d63,barley,7
65518631df087bc1863b6d64,basil,8
65518631df087bc1863b6d65,bass,6
65518631df087bc1863b6d66,bay leaf,7
65518631df087bc1863b6d67,beancurd,8
65518631df087bc1863b6d68,beans,8
65518631df087bc1863b6d69,beef,3
65518631df087bc1863b6d6a,beef carpaccio,5
65518631df087bc1863b6d6b,beef steak,4
65518631df087bc1863b6d6c,beef tartare,4
65518631df087bc1863b6d6d,beet,8
65518631df087bc1863b6d6e,beet salad,8
65518631df087bc1863b6d6f,beignets,3
65518631df087bc1863b6d70,bell pepper,9
65518631df087bc1863b6d71,berry,8
65518631df087bc1863b6d72,bibimbap,7
65518631df087bc1863b6d73,bilberry,8
65518631df087bc1863b6d74,birthday cake,4
65518631df087bc1863b6d75,biscuits,4
65518631df087bc1863b6d76,bitter melon,8
65518631df087bc1863b6d77,black beans,8
65518631df087bc1863b6d78,black currant,8
65518631df087bc1863b6d79,blackberry,8
65518631df087bc1863b6d7a,blood orange,8
65518631df087bc1863b6d7b,blood sausage,2
65518631df087bc1863b6d7c,blue cheese,4
65518631df087bc1863b6d7d,blueberry,8
65518631df087bc1863b6d7e,blueberry pie,4
65518631df087bc1863b6d7f,bok choy,9
65518631df087bc1863b6d80,bonbon,2
65518631df087bc1863b6d81,boysenberry,8
65518631df087bc1863b6d82,bread,4
65518631df087bc1863b6d83,bread pudding,3
65518631df087bc1863b6d84,bread rolls,4
65518631df087bc1863b6d85,breadfruit,5
65518631df087bc1863b6d86,breadstick,4
65518631df087bc1863b6d87,bream,6
65518631df087bc1863b6d88,brie,4
65518631df087bc1863b6d89,brioche,3
65518631df087bc1863b6d8a,brisket,3
65518631df087bc1863b6d8b,brittle,2
65518631df087bc1863b6d8c,broad beans,8
65518631df087bc1863b6d8d,broccoli,9
65518631df087bc1863b6d8e,broccolini,9
65518631df087bc1863b6d8f,brown rice,8
65518631df087bc1863b6d90,brownie,3
65518631df087bc1863b6d91,brulee,3
65518631df087bc1863b6d92,bruschetta,6
65518631df087bc1863b6d93,brussels sprout,9
65518631df087bc1863b6d94,buckwheat,7
65518631df087bc1863b6d95,burrito,5
65518631df087bc1863b6d96,butter,2
65518631df087bc1863b6d97,cabbage,9
65518631df087bc1863b6d98,caesar salad,8
65518631df087bc1863b6d99,cake,4
65518631df087bc1863b6d9a,cake pop,3
65518631df087bc1863b6d9b,calamari,5
65518631df087bc1863b6d9c,camembert,4
65518631df087bc1863b6d9d,canape,6
65518631df087bc1863b6d9e,candy,2
65518631df087bc1863b6d9f,candy apple,3
65518631df087bc1863b6da0,candy bar,2
65518631df087bc1863b6da1,cannoli,4
65518631df087bc1863b6da2,cantaloupe,8
65518631df087bc1863b6da3,caper,7
65518631df087bc1863b6da4,caprese salad,8
65518631df087bc1863b6da5,caramel apple,3
65518631df087bc1863b6da6,cardoon,7
65518631df087bc1863b6da7,carp,6
65518631df087bc1863b6da8,carpaccio,5
65518631df087bc1863b6da9,carrot,8
65518631df087bc1863b6daa,carrot cake,4
65518631df087bc1863b6dab,cashew,7
65518631df087bc1863b6dac,cassava,6
65518631df087bc1863b6dad,casserole,5
65518631df087bc1863b6dae,cauliflower,9
65518631df087bc1863b6daf,caviar,6
65518631df087bc1863b6db0,celery,8
65518631df087bc1863b6db1,cereal,6
65518631df087bc1863b6db2,ceviche,5
65518631df087bc1863b6db3,chard,9
65518631df087bc1863b6db4,cheddar,4
65518631df087bc1863b6db5,cheese,4
65518631df087bc1863b6db6,cheeseburger,3
65518631df087bc1863b6db7,cheesecake,3
65518631df087bc1863b6db8,cherry,8
65518631df087bc1863b6db9,cherry tomato,9
65518631df087bc1863b6dba,chestnut,6
65518631df087bc1863b6dbb,chicken,5
65518631df087bc1863b6dbc,chicken breast,6
65518631df087bc1863b6dbd,chicken curry,5
65518631df087bc1863b6dbe,chicken leg,4
65518631df087bc1863b6dbf,chicken wings,4
65518631df087bc1863b6dc0,chickpeas,7
65518631df087bc1863b6dc1,chili,5
65518631df087bc1863b6dc2,chili pepper,8
65518631df087bc1863b6dc3,chips,2
65518631df087bc1863b6dc4,chives,8
65518631df087bc1863b6dc5,chocolate,3
65518631df087bc1863b6dc6,chorizo,3
65518631df087bc1863b6dc7,chowder,5
65518631df087bc1863b6dc8,churros,3
65518631df087bc1863b6dc9,chutney,4
65518631df087bc1863b6dca,ciabatta,4
65518631df087bc1863b6dcb,cinnamon roll,3
65518631df087bc1863b6dcc,citron,8
65518631df087bc1863b6dcd,citrus,8
65518631df087bc1863b6dce,clam,6
65518631df087bc1863b6dcf,clam chowder,5
65518631df087bc1863b6dd0,clementine,8
65518631df087bc1863b6dd1,cobbler,4
65518631df087bc1863b6dd2,cockle,6
65518631df087bc1863b6dd3,coconut,7
65518631df087bc1863b6dd4,coleslaw,7
65518631df087bc1863b6dd5,collards,9
65518631df087bc1863b6dd6,common bean,7
65518631df087bc1863b6dd7,compote,6
65518631df087bc1863b6dd8,cookie,3
65518631df087bc1863b6dd9,corn,7
65518631df087bc1863b6dda,corn bread,5
65518631df087bc1863b6ddb,corn salad,7
65518631df087bc1863b6ddc,corned beef,2
65518631df087bc1863b6ddd,cornflakes,4
65518631df087bc1863b6dde,cottage cheese,7
65518631df087bc1863b6ddf,couscous,7
65518631df087bc1863b6de0,crab,6
65518631df087bc1863b6de1,crab cakes,5
65518631df087bc1863b6de2,cracker,4
65518631df087bc1863b6de3,cranberry,8
65518631df087bc1863b6de4,crayfish,6
65518631df087bc1863b6de5,creme brulee,3
65518631df087bc1863b6de6,crepe,4
65518631df087bc1863b6de7,crescent roll,3
65518631df087bc1863b6de8,cress,8
65518631df087bc1863b6de9,crispbread,4
65518631df087bc1863b6dea,croissant,3
65518631df087bc1863b6deb,croque madame,4
65518631df087bc1863b6dec,croquette,4
65518631df087bc1863b6ded,crouton,4
65518631df087bc1863b6dee,crunch,2
65518631df087bc1863b6def,cucumber,9
65518631df087bc1863b6df0,cupcake,3
65518631df087bc1863b6df1,curd,7
65518631df087bc1863b6df2,currant,8
65518631df087bc1863b6df3,custard,3
65518631df087bc1863b6df4,cuttlefish,6
65518631df087bc1863b6df6,daikon,8
65518631df087bc1863b6df7,dandelion greens,9
65518631df087bc1863b6df8,danish pastry,2
65518631df087bc1863b6df9,date,7
65518631df087bc1863b6dfa,deviled eggs,4
65518631df087bc1863b6dfb,dough,3
65518631df087bc1863b6dfc,doughnut,2
65518631df087bc1863b6dfd,dragonfruit,8
65518631df087bc1863b6dfe,dried apricot,7
65518631df087bc1863b6dff,dried fruit,6
65518631df087bc1863b6e00,drumstick,5
65518631df087bc1863b6e01,duck,4
65518631df087bc1863b6e02,dumpling,5
65518631df087bc1863b6e03,durian,3
65518631df087bc1863b6e04,eclair,3
65518631df087bc1863b6e05,edamame,8
65518631df087bc1863b6e06,eel,4
65518631df087bc1863b6e07,egg,6
65518631df087bc1863b6e08,egg white,8
65518631df087bc1863b6e09,egg yolk,4
65518631df087bc1863b6e0a,eggplant,8
65518631df087bc1863b6e0b,elderberry,8
65518631df087bc1863b6e0c,endive,9
65518631df087bc1863b6e0d,english muffin,3
65518631df087bc1863b6e0e,escargots,5
65518631df087bc1863b6e0f,falafel,7
65518631df087bc1863b6e10,farfalle,6
65518631df087bc1863b6e11,fava beans,7
65518631df087bc1863b6e12,fiddlehead,7
65518631df087bc1863b6e13,fig,8
65518631df087bc1863b6e14,filet mignon,4
65518631df087bc1863b6e15,fillet of sole,6
65518631df087bc1863b6e16,fish,5
65518631df087bc1863b6e17,fish and chips,3
65518631df087bc1863b6e18,flan,4
65518631df087bc1863b6e19,flatbread,4
65518631df087bc1863b6e1a,flatfish,6
65518631df087bc1863b6e1b,florence fennel,8
65518631df087bc1863b6e1c,focaccia,4
65518631df087bc1863b6e1d,foie gras,2
65518631df087bc1863b6e1e,fondue,3
65518631df087bc1863b6e1f,frankfurters,3
65518631df087bc1863b6e20,french beans,8
65518631df087bc1863b6e21,french bread,3
65518631df087bc1863b6e22,french fries,2
65518631df087bc1863b6e23,french onion soup,5
65518631df087bc1863b6e24,french toast,3
65518631df087bc1863b6e25,fried calamari,3
65518631df087bc1863b6e26,fried egg,4
65518631df087bc1863b6e27,fried rice,4
65518631df087bc1863b6e28,frittata,5
65518631df087bc1863b6e29,fritter,3
65518631df087bc1863b6e2a,frozen yogurt,5
65518631df087bc1863b6e2b,fruit salad,8
65518631df087bc1863b6e2c,fruitcake,3
65518631df087bc1863b6e2d,fudge,2
65518631df087bc1863b6e2e,fusilli,6
65518631df087bc1863b6e2f,galette,3
65518631df087bc1863b6e30,garlic,8
65518631df087bc1863b6e31,garlic bread,3
65518631df087bc1863b6e32,garlic chives,8
65518631df087bc1863b6e33,gazpacho,9
65518631df087bc1863b6e34,gherkin,7
65518631df087bc1863b6e35,ginger,8
65518631df087bc1863b6e36,gnocchi,5
65518631df087bc1863b6e37,goats cheese,6
65518631df087bc1863b6e38,goji berry,8
65518631df087bc1863b6e39,goose,5
65518631df087bc1863b6e3a,gooseberry,8
65518631df087bc1863b6e3b,gorgonzola,4
65518631df087bc1863b6e3c,gouda,4
65518631df087bc1863b6e3d,goulash,5
65518631df087bc1863b6e3e,gourd,6
65518631df087bc1863b6e3f,granola,5
65518631df087bc1863b6e40,grape,8
65518631df087bc1863b6e41,grapefruit,9
65518631df087bc1863b6e42,greek salad,9
65518631df087bc1863b6e43,green bean,9
65518631df087bc1863b6e44,green onion,8
65518631df087bc1863b6e45,grilled cheese sandwich,4
65518631df087bc1863b6e46,grits,6
65518631df087bc1863b6e47,ground beef,4
65518631df087bc1863b6e48,guacamole,8
65518631df087bc1863b6e49,guava,8
65518631df087bc1863b6e4a,gyoza,5
65518631df087bc1863b6e4b,gyro,5
65518631df087bc1863b6e4c,habanero pepper,8
65518631df087bc1863b6e4d,halibut,6
65518631df087bc1863b6e4e,ham,4
